Station,Date,Time- LST,Light intensity (W/m²),Light intensity (umol photons/s/m²),,
Beit Dagan,08/06/2020,12:00,991,4528.87,,
Beit Dagan,08/06/2020,12:10,987,4510.59,,
Beit Dagan,08/06/2020,12:20,987,4510.59,,
Beit Dagan,08/06/2020,12:30,977,4464.89,,
Beit Dagan,08/06/2020,12:40,971,4437.47,,
Beit Dagan,08/06/2020,12:50,960,4387.2,,
Beit Dagan,08/06/2020,13:00,943,4309.51,,
Beit Dagan,08/06/2020,13:10,928,4240.96,,
Beit Dagan,08/06/2020,13:20,915,4181.55,,
Beit Dagan,08/06/2020,13:30,895,4090.15,,
Beit Dagan,08/06/2020,13:40,879,4017.03,,
Beit Dagan,08/06/2020,13:50,858,3921.06,,
Beit Dagan,08/06/2020,14:00,840,3838.8,,
Beit Dagan,08/06/2020,14:10,819,3742.83,,
Beit Dagan,08/06/2020,14:20,798,3646.86,,
Beit Dagan,08/06/2020,14:30,774,3537.18,,
Beit Dagan,08/06/2020,14:40,749,3422.93,,
Beit Dagan,08/06/2020,14:50,723,3304.11,,
Beit Dagan,08/06/2020,15:00,691,3157.87,,
Beit Dagan,08/06/2020,15:10,661,3020.77,,
Beit Dagan,08/06/2020,15:20,634,2897.38,,
Beit Dagan,08/06/2020,15:30,600,2742,,
Beit Dagan,08/06/2020,15:40,568,2595.76,,
Beit Dagan,08/06/2020,15:50,534,2440.38,,
Beit Dagan,08/06/2020,16:00,501,2289.57,,
Beit Dagan,08/06/2020,16:10,470,2147.9,,
Beit Dagan,08/06/2020,16:20,435,1987.95,,
Beit Dagan,08/06/2020,16:30,400,1828,,
Beit Dagan,08/06/2020,16:40,365,1668.05,,
Beit Dagan,08/06/2020,16:50,329,1503.53,,
Beit Dagan,08/06/2020,17:00,295,1348.15,,
Beit Dagan,08/06/2020,17:10,260,1188.2,,
Beit Dagan,08/06/2020,17:20,225,1028.25,,
Beit Dagan,08/06/2020,17:30,191,872.87,,
Beit Dagan,08/06/2020,17:40,158,722.06,,
Beit Dagan,08/06/2020,17:50,122,557.54,,
Beit Dagan,08/06/2020,18:00,93,425.01,,
Beit Dagan,08/06/2020,18:10,66,301.62,,
Beit Dagan,08/06/2020,18:20,40,182.8,,
Beit Dagan,08/06/2020,18:30,22,100.54,,
Beit Dagan,08/06/2020,18:40,10,45.7,,
Beit Dagan,08/06/2020,18:50,0,0,,
Beit Dagan,08/06/2020,19:00,0,0,,
Beit Dagan,08/06/2020,19:10,0,0,,
Beit Dagan,08/06/2020,19:20,0,0,,
Beit Dagan,08/06/2020,19:30,0,0,,
Beit Dagan,08/06/2020,19:40,0,0,,
Beit Dagan,08/06/2020,19:50,0,0,,
Beit Dagan,08/06/2020,20:00,0,0,,
Beit Dagan,08/06/2020,20:10,0,0,,
Beit Dagan,08/06/2020,20:20,0,0,,
Beit Dagan,08/06/2020,20:30,0,0,,
Beit Dagan,08/06/2020,20:40,0,0,,
Beit Dagan,08/06/2020,20:50,0,0,,
Beit Dagan,08/06/2020,21:00,0,0,,
Beit Dagan,08/06/2020,21:10,0,0,,
Beit Dagan,08/06/2020,21:20,0,0,,
Beit Dagan,08/06/2020,21:30,0,0,,
Beit Dagan,08/06/2020,21:40,0,0,,
Beit Dagan,08/06/2020,21:50,0,0,,
Beit Dagan,08/06/2020,22:00,0,0,,
Beit Dagan,08/06/2020,22:10,0,0,,
Beit Dagan,08/06/2020,22:20,0,0,,
Beit Dagan,08/06/2020,22:30,0,0,,
Beit Dagan,08/06/2020,22:40,0,0,,
Beit Dagan,08/06/2020,22:50,0,0,,
Beit Dagan,08/06/2020,23:00,0,0,,
Beit Dagan,08/06/2020,23:10,0,0,,
Beit Dagan,08/06/2020,23:20,0,0,,
Beit Dagan,08/06/2020,23:30,0,0,,
Beit Dagan,08/06/2020,23:40,0,0,,
Beit Dagan,08/06/2020,23:50,0,0,,
Beit Dagan,09/06/2020,0:00,0,0,,
Beit Dagan,09/06/2020,0:10,0,0,,
Beit Dagan,09/06/2020,0:20,0,0,,
Beit Dagan,09/06/2020,0:30,0,0,,
Beit Dagan,09/06/2020,0:40,0,0,,
Beit Dagan,09/06/2020,0:50,0,0,,
Beit Dagan,09/06/2020,1:00,0,0,,
Beit Dagan,09/06/2020,1:10,0,0,,
Beit Dagan,09/06/2020,1:20,0,0,,
Beit Dagan,09/06/2020,1:30,0,0,,
Beit Dagan,09/06/2020,1:40,0,0,,
Beit Dagan,09/06/2020,1:50,0,0,,
Beit Dagan,09/06/2020,2:00,0,0,,
Beit Dagan,09/06/2020,2:10,0,0,,
Beit Dagan,09/06/2020,2:20,0,0,,
Beit Dagan,09/06/2020,2:30,0,0,,
Beit Dagan,09/06/2020,2:40,0,0,,
Beit Dagan,09/06/2020,2:50,0,0,,
Beit Dagan,09/06/2020,3:00,0,0,,
Beit Dagan,09/06/2020,3:10,0,0,,
Beit Dagan,09/06/2020,3:20,0,0,,
Beit Dagan,09/06/2020,3:30,0,0,,
Beit Dagan,09/06/2020,3:40,0,0,,
Beit Dagan,09/06/2020,3:50,0,0,,
Beit Dagan,09/06/2020,4:00,0,0,,
Beit Dagan,09/06/2020,4:10,0,0,,
Beit Dagan,09/06/2020,4:20,0,0,,
Beit Dagan,09/06/2020,4:30,0,0,,
Beit Dagan,09/06/2020,4:40,3,13.71,,
Beit Dagan,09/06/2020,4:50,11,50.27,,
Beit Dagan,09/06/2020,5:00,21,95.97,,
Beit Dagan,09/06/2020,5:10,43,196.51,,
Beit Dagan,09/06/2020,5:20,75,342.75,,
Beit Dagan,09/06/2020,5:30,101,461.57,,
Beit Dagan,09/06/2020,5:40,118,539.26,,
Beit Dagan,09/06/2020,5:50,138,630.66,,
Beit Dagan,09/06/2020,6:00,171,781.47,,
Beit Dagan,09/06/2020,6:10,205,936.85,,
Beit Dagan,09/06/2020,6:20,261,1192.77,,
Beit Dagan,09/06/2020,6:30,170,776.9,,
Beit Dagan,09/06/2020,6:40,213,973.41,,
Beit Dagan,09/06/2020,6:50,350,1599.5,,
Beit Dagan,09/06/2020,7:00,189,863.73,,
Beit Dagan,09/06/2020,7:10,244,1115.08,,
Beit Dagan,09/06/2020,7:20,340,1553.8,,
Beit Dagan,09/06/2020,7:30,244,1115.08,,
Beit Dagan,09/06/2020,7:40,526,2403.82,,
Beit Dagan,09/06/2020,7:50,630,2879.1,,
Beit Dagan,09/06/2020,8:00,571,2609.47,,
Beit Dagan,09/06/2020,8:10,620,2833.4,,
Beit Dagan,09/06/2020,8:20,700,3199,,
Beit Dagan,09/06/2020,8:30,731,3340.67,,
Beit Dagan,09/06/2020,8:40,734,3354.38,,
Beit Dagan,09/06/2020,8:50,759,3468.63,,
Beit Dagan,09/06/2020,9:00,781,3569.17,,
Beit Dagan,09/06/2020,9:10,803,3669.71,,
Beit Dagan,09/06/2020,9:20,837,3825.09,,
Beit Dagan,09/06/2020,9:30,860,3930.2,,
Beit Dagan,09/06/2020,9:40,879,4017.03,,
Beit Dagan,09/06/2020,9:50,901,4117.57,,
Beit Dagan,09/06/2020,10:00,922,4213.54,,
Beit Dagan,09/06/2020,10:10,932,4259.24,,
Beit Dagan,09/06/2020,10:20,949,4336.93,,
Beit Dagan,09/06/2020,10:30,963,4400.91,,
Beit Dagan,09/06/2020,10:40,969,4428.33,,
Beit Dagan,09/06/2020,10:50,987,4510.59,,
Beit Dagan,09/06/2020,11:00,999,4565.43,,
Beit Dagan,09/06/2020,11:10,1013,4629.41,,
Beit Dagan,09/06/2020,11:20,1023,4675.11,,
Beit Dagan,09/06/2020,11:30,817,3733.69,,
Beit Dagan,09/06/2020,11:40,990,4524.3,,
Beit Dagan,09/06/2020,11:50,1022,4670.54,,
Beit Dagan,09/06/2020,12:00,1036,4734.52,,
Beit Dagan,09/06/2020,12:10,1029,4702.53,,
Beit Dagan,09/06/2020,12:20,1023,4675.11,,
Beit Dagan,09/06/2020,12:30,1016,4643.12,,
Beit Dagan,09/06/2020,12:40,1007,4601.99,,
Beit Dagan,09/06/2020,12:50,995,4547.15,,
Beit Dagan,09/06/2020,13:00,981,4483.17,,
Beit Dagan,09/06/2020,13:10,967,4419.19,,
Beit Dagan,09/06/2020,13:20,948,4332.36,,
Beit Dagan,09/06/2020,13:30,930,4250.1,,
Beit Dagan,09/06/2020,13:40,914,4176.98,,
Beit Dagan,09/06/2020,13:50,895,4090.15,,
Beit Dagan,09/06/2020,14:00,877,4007.89,,
Beit Dagan,09/06/2020,14:10,860,3930.2,,
Beit Dagan,09/06/2020,14:20,824,3765.68,,
Beit Dagan,09/06/2020,14:30,613,2801.41,,
Beit Dagan,09/06/2020,14:40,300,1371,,
Beit Dagan,09/06/2020,14:50,737,3368.09,,
Beit Dagan,09/06/2020,15:00,807,3687.99,,
Beit Dagan,09/06/2020,15:10,718,3281.26,,
Beit Dagan,09/06/2020,15:20,686,3135.02,,
Beit Dagan,09/06/2020,15:30,651,2975.07,,
Beit Dagan,09/06/2020,15:40,600,2742,,
Beit Dagan,09/06/2020,15:50,507,2316.99,,
Beit Dagan,09/06/2020,16:00,541,2472.37,,
Beit Dagan,09/06/2020,16:10,251,1147.07,,
Beit Dagan,09/06/2020,16:20,459,2097.63,,
Beit Dagan,09/06/2020,16:30,355,1622.35,,
Beit Dagan,09/06/2020,16:40,429,1960.53,,
Beit Dagan,09/06/2020,16:50,358,1636.06,,
Beit Dagan,09/06/2020,17:00,320,1462.4,,
Beit Dagan,09/06/2020,17:10,278,1270.46,,
Beit Dagan,09/06/2020,17:20,237,1083.09,,
Beit Dagan,09/06/2020,17:30,204,932.28,,
Beit Dagan,09/06/2020,17:40,157,717.49,,
Beit Dagan,09/06/2020,17:50,135,616.95,,
Beit Dagan,09/06/2020,18:00,107,488.99,,
Beit Dagan,09/06/2020,18:10,63,287.91,,
Beit Dagan,09/06/2020,18:20,22,100.54,,
Beit Dagan,09/06/2020,18:30,12,54.84,,
Beit Dagan,09/06/2020,18:40,5,22.85,,
Beit Dagan,09/06/2020,18:50,0,0,,
Beit Dagan,09/06/2020,19:00,0,0,,
Beit Dagan,09/06/2020,19:10,0,0,,
Beit Dagan,09/06/2020,19:20,0,0,,
Beit Dagan,09/06/2020,19:30,0,0,,
Beit Dagan,09/06/2020,19:40,0,0,,
Beit Dagan,09/06/2020,19:50,0,0,,
Beit Dagan,09/06/2020,20:00,0,0,,
Beit Dagan,09/06/2020,20:10,0,0,,
Beit Dagan,09/06/2020,20:20,0,0,,
Beit Dagan,09/06/2020,20:30,0,0,,
Beit Dagan,09/06/2020,20:40,0,0,,
Beit Dagan,09/06/2020,20:50,0,0,,
Beit Dagan,09/06/2020,21:00,0,0,,
Beit Dagan,09/06/2020,21:10,0,0,,
Beit Dagan,09/06/2020,21:20,0,0,,
Beit Dagan,09/06/2020,21:30,0,0,,
Beit Dagan,09/06/2020,21:40,0,0,,
Beit Dagan,09/06/2020,21:50,0,0,,
Beit Dagan,09/06/2020,22:00,0,0,,
Beit Dagan,09/06/2020,22:10,0,0,,
Beit Dagan,09/06/2020,22:20,0,0,,
Beit Dagan,09/06/2020,22:30,0,0,,
Beit Dagan,09/06/2020,22:40,0,0,,
Beit Dagan,09/06/2020,22:50,0,0,,
Beit Dagan,09/06/2020,23:00,0,0,,
Beit Dagan,09/06/2020,23:10,0,0,,
Beit Dagan,09/06/2020,23:20,0,0,,
Beit Dagan,09/06/2020,23:30,0,0,,
Beit Dagan,09/06/2020,23:40,0,0,,
Beit Dagan,09/06/2020,23:50,0,0,,
Beit Dagan,10/06/2020,0:00,0,0,,
Beit Dagan,10/06/2020,0:10,0,0,,
Beit Dagan,10/06/2020,0:20,0,0,,
Beit Dagan,10/06/2020,0:30,0,0,,
Beit Dagan,10/06/2020,0:40,0,0,,
Beit Dagan,10/06/2020,0:50,0,0,,
Beit Dagan,10/06/2020,1:00,0,0,,
Beit Dagan,10/06/2020,1:10,0,0,,
Beit Dagan,10/06/2020,1:20,0,0,,
Beit Dagan,10/06/2020,1:30,0,0,,
Beit Dagan,10/06/2020,1:40,0,0,,
Beit Dagan,10/06/2020,1:50,0,0,,
Beit Dagan,10/06/2020,2:00,0,0,,
Beit Dagan,10/06/2020,2:10,0,0,,
Beit Dagan,10/06/2020,2:20,0,0,,
Beit Dagan,10/06/2020,2:30,0,0,,
Beit Dagan,10/06/2020,2:40,0,0,,
Beit Dagan,10/06/2020,2:50,0,0,,
Beit Dagan,10/06/2020,3:00,0,0,,
Beit Dagan,10/06/2020,3:10,0,0,,
Beit Dagan,10/06/2020,3:20,0,0,,
Beit Dagan,10/06/2020,3:30,0,0,,
Beit Dagan,10/06/2020,3:40,0,0,,
Beit Dagan,10/06/2020,3:50,0,0,,
Beit Dagan,10/06/2020,4:00,0,0,,
Beit Dagan,10/06/2020,4:10,0,0,,
Beit Dagan,10/06/2020,4:20,0,0,,
Beit Dagan,10/06/2020,4:30,0,0,,
Beit Dagan,10/06/2020,4:40,4,18.28,,
Beit Dagan,10/06/2020,4:50,12,54.84,,
Beit Dagan,10/06/2020,5:00,22,100.54,,
Beit Dagan,10/06/2020,5:10,57,260.49,,
Beit Dagan,10/06/2020,5:20,88,402.16,,
Beit Dagan,10/06/2020,5:30,115,525.55,,
Beit Dagan,10/06/2020,5:40,149,680.93,,
Beit Dagan,10/06/2020,5:50,181,827.17,,
Beit Dagan,10/06/2020,6:00,154,703.78,,
Beit Dagan,10/06/2020,6:10,207,945.99,,
Beit Dagan,10/06/2020,6:20,267,1220.19,,
Beit Dagan,10/06/2020,6:30,274,1252.18,,
Beit Dagan,10/06/2020,6:40,375,1713.75,,
Beit Dagan,10/06/2020,6:50,315,1439.55,,
Beit Dagan,10/06/2020,7:00,354,1617.78,,
Beit Dagan,10/06/2020,7:10,414,1891.98,,
Beit Dagan,10/06/2020,7:20,443,2024.51,,
Beit Dagan,10/06/2020,7:30,275,1256.75,,
Beit Dagan,10/06/2020,7:40,401,1832.57,,
Beit Dagan,10/06/2020,7:50,620,2833.4,,
Beit Dagan,10/06/2020,8:00,634,2897.38,,
Beit Dagan,10/06/2020,8:10,642,2933.94,,
Beit Dagan,10/06/2020,8:20,679,3103.03,,
Beit Dagan,10/06/2020,8:30,716,3272.12,,
Beit Dagan,10/06/2020,8:40,751,3432.07,,
Beit Dagan,10/06/2020,8:50,777,3550.89,,
Beit Dagan,10/06/2020,9:00,799,3651.43,,
Beit Dagan,10/06/2020,9:10,816,3729.12,,
Beit Dagan,10/06/2020,9:20,846,3866.22,,
Beit Dagan,10/06/2020,9:30,860,3930.2,,
Beit Dagan,10/06/2020,9:40,886,4049.02,,
Beit Dagan,10/06/2020,9:50,903,4126.71,,
Beit Dagan,10/06/2020,10:00,923,4218.11,,
Beit Dagan,10/06/2020,10:10,937,4282.09,,
Beit Dagan,10/06/2020,10:20,951,4346.07,,
Beit Dagan,10/06/2020,10:30,963,4400.91,,
Beit Dagan,10/06/2020,10:40,976,4460.32,,
Beit Dagan,10/06/2020,10:50,988,4515.16,,
Beit Dagan,10/06/2020,11:00,994,4542.58,,
Beit Dagan,10/06/2020,11:10,1004,4588.28,,
Beit Dagan,10/06/2020,11:20,1011,4620.27,,
Beit Dagan,10/06/2020,11:30,1014,4633.98,,
Beit Dagan,10/06/2020,11:40,1014,4633.98,,
Beit Dagan,10/06/2020,11:50,1019,4656.83,,
Beit Dagan,10/06/2020,12:00,1017,4647.69,,
Beit Dagan,10/06/2020,12:10,1010,4615.7,,
Beit Dagan,10/06/2020,12:20,1006,4597.42,,
Beit Dagan,10/06/2020,12:30,1002,4579.14,,
Beit Dagan,10/06/2020,12:40,989,4519.73,,
Beit Dagan,10/06/2020,12:50,982,4487.74,,
Beit Dagan,10/06/2020,13:00,971,4437.47,,
Beit Dagan,10/06/2020,13:10,957,4373.49,,
Beit Dagan,10/06/2020,13:20,942,4304.94,,
Beit Dagan,10/06/2020,13:30,924,4222.68,,
Beit Dagan,10/06/2020,13:40,909,4154.13,,
Beit Dagan,10/06/2020,13:50,890,4067.3,,
Beit Dagan,10/06/2020,14:00,865,3953.05,,
Beit Dagan,10/06/2020,14:10,844,3857.08,,
Beit Dagan,10/06/2020,14:20,817,3733.69,,
Beit Dagan,10/06/2020,14:30,793,3624.01,,
Beit Dagan,10/06/2020,14:40,765,3496.05,,
Beit Dagan,10/06/2020,14:50,735,3358.95,,
Beit Dagan,10/06/2020,15:00,706,3226.42,,
Beit Dagan,10/06/2020,15:10,675,3084.75,,
Beit Dagan,10/06/2020,15:20,643,2938.51,,
Beit Dagan,10/06/2020,15:30,611,2792.27,,
Beit Dagan,10/06/2020,15:40,578,2641.46,,
Beit Dagan,10/06/2020,15:50,542,2476.94,,
Beit Dagan,10/06/2020,16:00,509,2326.13,,
Beit Dagan,10/06/2020,16:10,473,2161.61,,
Beit Dagan,10/06/2020,16:20,433,1978.81,,
Beit Dagan,10/06/2020,16:30,397,1814.29,,
Beit Dagan,10/06/2020,16:40,352,1608.64,,
Beit Dagan,10/06/2020,16:50,303,1384.71,,
Beit Dagan,10/06/2020,17:00,278,1270.46,,
Beit Dagan,10/06/2020,17:10,247,1128.79,,
Beit Dagan,10/06/2020,17:20,210,959.7,,
Beit Dagan,10/06/2020,17:30,181,827.17,,
Beit Dagan,10/06/2020,17:40,151,690.07,,
Beit Dagan,10/06/2020,17:50,117,534.69,,
Beit Dagan,10/06/2020,18:00,87,397.59,,
Beit Dagan,10/06/2020,18:10,61,278.77,,
Beit Dagan,10/06/2020,18:20,38,173.66,,
Beit Dagan,10/06/2020,18:30,21,95.97,,
Beit Dagan,10/06/2020,18:40,9,41.13,,
Beit Dagan,10/06/2020,18:50,0,0,,
Beit Dagan,10/06/2020,19:00,0,0,,
Beit Dagan,10/06/2020,19:10,0,0,,
Beit Dagan,10/06/2020,19:20,0,0,,
Beit Dagan,10/06/2020,19:30,0,0,,
Beit Dagan,10/06/2020,19:40,0,0,,
Beit Dagan,10/06/2020,19:50,0,0,,
Beit Dagan,10/06/2020,20:00,0,0,,
Beit Dagan,10/06/2020,20:10,0,0,,
Beit Dagan,10/06/2020,20:20,0,0,,
Beit Dagan,10/06/2020,20:30,0,0,,
Beit Dagan,10/06/2020,20:40,0,0,,
Beit Dagan,10/06/2020,20:50,0,0,,
Beit Dagan,10/06/2020,21:00,0,0,,
Beit Dagan,10/06/2020,21:10,0,0,,
Beit Dagan,10/06/2020,21:20,0,0,,
Beit Dagan,10/06/2020,21:30,0,0,,
Beit Dagan,10/06/2020,21:40,0,0,,
Beit Dagan,10/06/2020,21:50,0,0,,
Beit Dagan,10/06/2020,22:00,0,0,,
Beit Dagan,10/06/2020,22:10,0,0,,
Beit Dagan,10/06/2020,22:20,0,0,,
Beit Dagan,10/06/2020,22:30,0,0,,
Beit Dagan,10/06/2020,22:40,0,0,,
Beit Dagan,10/06/2020,22:50,0,0,,
Beit Dagan,10/06/2020,23:00,0,0,,
Beit Dagan,10/06/2020,23:10,0,0,,
Beit Dagan,10/06/2020,23:20,0,0,,
Beit Dagan,10/06/2020,23:30,0,0,,
Beit Dagan,10/06/2020,23:40,0,0,,
Beit Dagan,10/06/2020,23:50,0,0,,
Beit Dagan,11/06/2020,0:00,0,0,,
Beit Dagan,11/06/2020,0:10,0,0,,
Beit Dagan,11/06/2020,0:20,0,0,,
Beit Dagan,11/06/2020,0:30,0,0,,
Beit Dagan,11/06/2020,0:40,0,0,,
Beit Dagan,11/06/2020,0:50,0,0,,
Beit Dagan,11/06/2020,1:00,0,0,,
Beit Dagan,11/06/2020,1:10,0,0,,
Beit Dagan,11/06/2020,1:20,0,0,,
Beit Dagan,11/06/2020,1:30,0,0,,
Beit Dagan,11/06/2020,1:40,0,0,,
Beit Dagan,11/06/2020,1:50,0,0,,
Beit Dagan,11/06/2020,2:00,0,0,,
Beit Dagan,11/06/2020,2:10,0,0,,
Beit Dagan,11/06/2020,2:20,0,0,,
Beit Dagan,11/06/2020,2:30,0,0,,
Beit Dagan,11/06/2020,2:40,0,0,,
Beit Dagan,11/06/2020,2:50,0,0,,
Beit Dagan,11/06/2020,3:00,0,0,,
Beit Dagan,11/06/2020,3:10,0,0,,
Beit Dagan,11/06/2020,3:20,0,0,,
Beit Dagan,11/06/2020,3:30,0,0,,
Beit Dagan,11/06/2020,3:40,0,0,,
Beit Dagan,11/06/2020,3:50,0,0,,
Beit Dagan,11/06/2020,4:00,0,0,,
Beit Dagan,11/06/2020,4:10,0,0,,
Beit Dagan,11/06/2020,4:20,0,0,,
Beit Dagan,11/06/2020,4:30,2,9.14,,
Beit Dagan,11/06/2020,4:40,4,18.28,,
Beit Dagan,11/06/2020,4:50,10,45.7,,
Beit Dagan,11/06/2020,5:00,20,91.4,,
Beit Dagan,11/06/2020,5:10,34,155.38,,
Beit Dagan,11/06/2020,5:20,51,233.07,,
Beit Dagan,11/06/2020,5:30,66,301.62,,
Beit Dagan,11/06/2020,5:40,80,365.6,,
Beit Dagan,11/06/2020,5:50,56,255.92,,
Beit Dagan,11/06/2020,6:00,65,297.05,,
Beit Dagan,11/06/2020,6:10,172,786.04,,
Beit Dagan,11/06/2020,6:20,153,699.21,,
Beit Dagan,11/06/2020,6:30,297,1357.29,,
Beit Dagan,11/06/2020,6:40,338,1544.66,,
Beit Dagan,11/06/2020,6:50,225,1028.25,,
Beit Dagan,11/06/2020,7:00,382,1745.74,,
Beit Dagan,11/06/2020,7:10,429,1960.53,,
Beit Dagan,11/06/2020,7:20,434,1983.38,,
Beit Dagan,11/06/2020,7:30,494,2257.58,,
Beit Dagan,11/06/2020,7:40,540,2467.8,,
Beit Dagan,11/06/2020,7:50,566,2586.62,,
Beit Dagan,11/06/2020,8:00,592,2705.44,,
Beit Dagan,11/06/2020,8:10,615,2810.55,,
Beit Dagan,11/06/2020,8:20,649,2965.93,,
Beit Dagan,11/06/2020,8:30,676,3089.32,,
Beit Dagan,11/06/2020,8:40,710,3244.7,,
Beit Dagan,11/06/2020,8:50,737,3368.09,,
Beit Dagan,11/06/2020,9:00,774,3537.18,,
Beit Dagan,11/06/2020,9:10,800,3656,,
Beit Dagan,11/06/2020,9:20,822,3756.54,,
Beit Dagan,11/06/2020,9:30,845,3861.65,,
Beit Dagan,11/06/2020,9:40,870,3975.9,,
Beit Dagan,11/06/2020,9:50,893,4081.01,,
Beit Dagan,11/06/2020,10:00,913,4172.41,,
Beit Dagan,11/06/2020,10:10,936,4277.52,,
Beit Dagan,11/06/2020,10:20,951,4346.07,,
Beit Dagan,11/06/2020,10:30,969,4428.33,,
Beit Dagan,11/06/2020,10:40,988,4515.16,,
Beit Dagan,11/06/2020,10:50,997,4556.29,,
Beit Dagan,11/06/2020,11:00,1011,4620.27,,
Beit Dagan,11/06/2020,11:10,1015,4638.55,,
Beit Dagan,11/06/2020,11:20,1021,4665.97,,
Beit Dagan,11/06/2020,11:30,1027,4693.39,,
Beit Dagan,11/06/2020,11:40,982,4487.74,,
Beit Dagan,11/06/2020,11:50,1016,4643.12,,
Beit Dagan,11/06/2020,12:00,965,4410.05,,
Beit Dagan,11/06/2020,12:10,994,4542.58,,
Beit Dagan,11/06/2020,12:20,977,4464.89,,
Beit Dagan,11/06/2020,12:30,1013,4629.41,,
Beit Dagan,11/06/2020,12:40,1004,4588.28,,
Beit Dagan,11/06/2020,12:50,996,4551.72,,
Beit Dagan,11/06/2020,13:00,985,4501.45,,
Beit Dagan,11/06/2020,13:10,978,4469.46,,
Beit Dagan,11/06/2020,13:20,960,4387.2,,
Beit Dagan,11/06/2020,13:30,934,4268.38,,
Beit Dagan,11/06/2020,13:40,704,3217.28,,
Beit Dagan,11/06/2020,13:50,448,2047.36,,
Beit Dagan,11/06/2020,14:00,604,2760.28,,
Beit Dagan,11/06/2020,14:10,911,4163.27,,
Beit Dagan,11/06/2020,14:20,821,3751.97,,
Beit Dagan,11/06/2020,14:30,822,3756.54,,
Beit Dagan,11/06/2020,14:40,687,3139.59,,
Beit Dagan,11/06/2020,14:50,609,2783.13,,
Beit Dagan,11/06/2020,15:00,699,3194.43,,
Beit Dagan,11/06/2020,15:10,667,3048.19,,
Beit Dagan,11/06/2020,15:20,553,2527.21,,
Beit Dagan,11/06/2020,15:30,484,2211.88,,
Beit Dagan,11/06/2020,15:40,528,2412.96,,
Beit Dagan,11/06/2020,15:50,309,1412.13,,
Beit Dagan,11/06/2020,16:00,600,2742,,
Beit Dagan,11/06/2020,16:10,533,2435.81,,
Beit Dagan,11/06/2020,16:20,452,2065.64,,
Beit Dagan,11/06/2020,16:30,408,1864.56,,
Beit Dagan,11/06/2020,16:40,349,1594.93,,
Beit Dagan,11/06/2020,16:50,269,1229.33,,
Beit Dagan,11/06/2020,17:00,375,1713.75,,
Beit Dagan,11/06/2020,17:10,314,1434.98,,
Beit Dagan,11/06/2020,17:20,256,1169.92,,
Beit Dagan,11/06/2020,17:30,213,973.41,,
Beit Dagan,11/06/2020,17:40,168,767.76,,
Beit Dagan,11/06/2020,17:50,141,644.37,,
Beit Dagan,11/06/2020,18:00,106,484.42,,
Beit Dagan,11/06/2020,18:10,76,347.32,,
Beit Dagan,11/06/2020,18:20,41,187.37,,
